num ED,radius,nRuns,nRuns with opt,PDR ,teor upper bound,teor lower bound,forSF,PDR with opt,teor upper bound with opt,teor lower bound with opt,forSF,relative gain,relative gain upper,relative gain lower
1000,1500,25,100,"0,8015","0,814104399192988","0,662765972785376","[0.0, 0.0, 0.0, 0.0, 0.0, 0.8015]","0,8883","0,907877523883677","0,824241695846276","[0.899, 0.8823, 0.88, 0.8787, 0.8754, 0.8998]","0,108296943231441","0,115185625803822","0,243639127069655"
3000,1500,25,100,"0,5446","0,539560694079994","0,291125742596085","[0.0, 0.0, 0.0, 0.0, 0.0, 0.5446]","0,7009","0,74830993115822","0,559968511610373","[0.6716, 0.66, 0.6672, 0.6617, 0.6737, 0.737]","0,286999632757988","0,38688740556642","0,923459281260768"
3000,3000,10,500,"0,6243","0,676455891152137","0,478181481588443","[0.0, 0.0, 0.4584, 0.5083, 0.7048, 0.7734]","0,6651","0,711840939222924","0,517651261439763","[0.5842, 0.5649, 0.567, 0.5579, 0.7095, 0.7847]","0,065353195579049","0,05230946841267","0,082541422809197"
1000,1500,25,1000,"0,7978","0,814104399192988","0,662765972785376","[0.0, 0.0, 0.0, 0.0, 0.0, 0.7978]","0,8864","0,907877523883677","0,824241695846276","[0.8904, 0.8872, 0.8806, 0.8731, 0.8723, 0.8989]","0,11105540235648","0,115185625803822","0,243639127069655"
1000,3000,10,300,"0,845","0,871595266051719","0,763909127320394","[0.0, 0.0, 0.7663, 0.7862, 0.8845, 0.9214]","0,8672","0,889413305911125","0,793147166913294","[0.8271, 0.8233, 0.8233, 0.8169, 0.8929, 0.9218]","0,026272189349113","0,020443020463065","0,038274237795089"
3000,1500,25,500,"0,5456","0,539560694079994","0,291125742596085","[0.0, 0.0, 0.0, 0.0, 0.0, 0.5456]","0,7107","0,74830993115822","0,559968511610373","[0.679, 0.6735, 0.6832, 0.678, 0.685, 0.7432]","0,302602639296188","0,38688740556642","0,923459281260768"
1000,1000,10,100,"0,7953","0,814104399192988","0,662765972785376","[0.0, 0.0, 0.0, 0.0, 0.0, 0.7953]","0,8904","0,907877523883677","0,824241695846276","[0.8924, 0.8902, 0.8858, 0.8787, 0.8787, 0.9009]","0,119577517917767","0,115185625803822","0,243639127069655"
1000,2000,10,100,"0,8242","0,869683860969746","0,756930114494976","[0.0, 0.0, 0.0, 0.0, 0.8343, 0.8209]","0,8853","0,907877523883677","0,824241695846276","[0.8937, 0.8848, 0.8772, 0.8759, 0.8725, 0.8961]","0,074132492113565","0,043916720348637","0,088927075382924"
1000,2500,10,100,"0,8487","0,88703571826367","0,787939655731386","[0.0, 0.0, 0.0, 0.7934, 0.8484, 0.8795]","0,8779","0,907877523883677","0,824241695846276","[0.8904, 0.8772, 0.8821, 0.8703, 0.8581, 0.89]","0,034405561446919","0,023496016215451","0,046072106982855"
3000,1000,10,100,"0,5488","0,539560694079994","0,291125742596085","[0.0, 0.0, 0.0, 0.0, 0.0, 0.5488]","0,7137","0,74830993115822","0,559968511610373","[0.6845, 0.6705, 0.6887, 0.6817, 0.6899, 0.7448]","0,300473760932944","0,38688740556642","0,923459281260768"
3000,2000,10,100,"0,6019","0,657838621658771","0,436291460522502","[0.0, 0.0, 0.0, 0.0, 0.6023, 0.6017]","0,7026","0,74830993115822","0,559968511610373","[0.6872, 0.6687, 0.6786, 0.6669, 0.6714, 0.7373]","0,16730353879382","0,137528120911055","0,283473462762153"
3000,2500,10,100,"0,6349","0,705694400449807","0,50170329396165","[0.0, 0.0, 0.0, 0.5219, 0.6093, 0.7096]","0,682","0,74830993115822","0,559968511610373","[0.665, 0.6594, 0.6611, 0.6543, 0.6377, 0.7203]","0,074184911009608","0,060388081131507","0,116134811849923"
1000,1000,10,100,"0,7859","0,814104399192988","0,662765972785376","[0.0, 0.0, 0.0, 0.0, 0.0, 0.7859]","0,8877","0,907877523883677","0,824241695846276","[0.895, 0.8803, 0.8808, 0.8801, 0.8753, 0.898]","0,129533019468126","0,115185625803822","0,243639127069655"
1000,2000,10,100,"0,8358","0,870297622799452","0,757943836550787","[0.0, 0.0, 0.0, 0.0, 0.8421, 0.8337]","0,8866","0,907877523883677","0,824241695846276","[0.8919, 0.8874, 0.886, 0.872, 0.8748, 0.8972]","0,060780090930845","0,04318051675626","0,087470675396206"
1000,2500,10,100,"0,8477","0,889141120213854","0,791330949717079","[0.0, 0.0, 0.0, 0.7847, 0.8564, 0.874]","0,8775","0,907877523883677","0,824241695846276","[0.883, 0.8757, 0.8778, 0.8659, 0.8593, 0.8905]","0,035153945971452","0,021072474598089","0,04158910521693"
